country_alpha,country,respno,rawidentity,dv_identity,region,age,gender,ethndom,employment,educ,poltransform,econtransform,socialtransform,colyears,colpower,colpopulation,coastal,loggdp1980,loggdp2013,conflictyears,democ2013
5,BDI,BDI0001,5,1,EA,32,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0002,5,1,EA,33,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0003,4,1,EA,23,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0005,4,1,EA,38,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0006,5,1,EA,43,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0007,5,1,EA,28,1,1,2,7,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0009,5,1,EA,58,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0010,5,1,EA,55,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0011,5,1,EA,65,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0012,5,1,EA,50,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0013,3,0,EA,30,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0014,5,1,EA,30,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0015,5,1,EA,27,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0016,5,1,EA,52,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0017,4,1,EA,20,0,1,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0018,5,1,EA,30,0,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0019,1,0,EA,38,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0020,4,1,EA,58,0,1,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0022,5,1,EA,23,1,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0023,2,0,EA,45,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0024,5,1,EA,32,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0026,5,1,EA,25,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0027,5,1,EA,19,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0028,5,1,EA,45,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0029,5,1,EA,61,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0030,5,1,EA,42,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0031,5,1,EA,48,0,1,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0033,5,1,EA,30,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0034,5,1,EA,27,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0035,5,1,EA,20,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0036,5,1,EA,39,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0037,4,1,EA,39,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0038,2,0,EA,36,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0039,5,1,EA,32,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0040,5,1,EA,46,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0041,5,1,EA,40,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0042,3,0,EA,36,0,1,3,5,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0043,5,1,EA,31,0,1,3,5,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0044,5,1,EA,19,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0045,5,1,EA,25,1,1,1,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0046,4,1,EA,54,0,1,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0047,5,1,EA,42,0,1,3,6,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0048,1,0,EA,42,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0049,4,1,EA,27,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0050,4,1,EA,27,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0051,5,1,EA,20,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0052,5,1,EA,18,0,1,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0053,5,1,EA,27,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0054,5,1,EA,27,0,0,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0055,1,0,EA,33,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0056,5,1,EA,68,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0057,5,1,EA,19,0,1,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0059,5,1,EA,19,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0060,5,1,EA,18,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0061,4,1,EA,47,0,1,2,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0062,5,1,EA,40,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0063,5,1,EA,55,1,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0064,5,1,EA,50,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0065,5,1,EA,50,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0067,5,1,EA,23,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0068,4,1,EA,22,0,1,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0069,5,1,EA,42,0,1,2,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0070,5,1,EA,47,1,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0071,5,1,EA,32,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0072,1,0,EA,40,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0073,1,0,EA,22,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0074,1,0,EA,67,0,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0075,3,0,EA,51,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0076,4,1,EA,34,0,1,3,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0077,5,1,EA,32,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0078,5,1,EA,34,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0079,5,1,EA,60,0,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
